week,category,weekly_rank,Movie Name,season_title,weekly_hours_viewed,Duration,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,episode_launch_details
2023-09-10,Films (English),2,Choose Love,,9000000,1.2833,7000000.0,2,False,
2023-09-10,Films (English),3,The Croods,,6800000,1.6333,4200000.0,6,False,
2023-09-10,Films (English),4,Dr. Seuss' The Grinch,,5900000,1.4333,4100000.0,1,False,
2023-09-10,Films (English),5,The Boss Baby,,6400000,1.6333,3900000.0,12,False,
2023-09-10,Films (English),6,Snitch,,6900000,1.7833,3900000.0,2,False,
2023-09-10,Films (English),7,Love Again,,6600000,1.7333,3800000.0,2,False,
2023-09-10,Films (English),8,Jack Reacher: Never Go Back,,7400000,1.9667,3800000.0,2,False,
2023-09-10,Films (English),9,Heart of Stone,,7300000,2.1,3500000.0,5,False,
2023-09-10,Films (English),10,Jack Reacher,,7500000,2.1667,3500000.0,2,False,
2023-09-03,Films (English),1,You Are So Not Invited to My Bat Mitzvah,,37900000,1.7333,21900000.0,2,False,
2023-09-03,Films (English),2,The Monkey King,,10600000,1.6167,6600000.0,3,False,
2023-09-03,Films (English),3,Heart of Stone,,13700000,2.1,6500000.0,4,False,
2023-09-03,Films (English),4,Choose Love,,8300000,1.2833,6500000.0,1,False,
2023-09-03,Films (English),5,The Boss Baby,,8500000,1.6333,5200000.0,11,False,
2023-09-03,Films (English),6,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,,8600000,2.15,4000000.0,1,False,
2023-09-03,Films (English),7,The Pope's Exorcist,,5400000,1.7333,3100000.0,3,False,
2023-09-03,Films (English),8,Love Again,,5100000,1.7333,2900000.0,1,False,
2023-09-03,Films (English),9,On the Line,,4800000,1.7333,2800000.0,1,False,
2023-09-03,Films (English),10,Snitch,,4100000,1.7833,2300000.0,1,False,
2023-08-27,Films (English),1,The Monkey King,,23200000,1.6167,14400000.0,2,False,
2023-08-27,Films (English),2,Heart of Stone,,28500000,2.1,13600000.0,3,False,
2023-08-27,Films (English),3,You Are So Not Invited to My Bat Mitzvah,,21300000,1.7333,12300000.0,1,False,
2023-08-27,Films (English),4,Street Kings,,10300000,1.8167,5700000.0,2,False,
2023-08-27,Films (English),5,The Boss Baby,,9000000,1.6333,5500000.0,10,False,
2023-08-27,Films (English),6,Jurassic World: Fallen Kingdom,,10100000,2.1333,4700000.0,1,False,
2023-08-27,Films (English),7,The Pope's Exorcist,,6500000,1.7333,3800000.0,2,False,
2023-08-27,Films (English),8,Half Brothers,,5900000,1.6,3700000.0,2,False,
2023-08-27,Films (English),9,Madagascar,,4800000,1.4333,3300000.0,1,False,
2023-08-27,Films (English),10,Dora and the Lost City of Gold,,4900000,1.7,2900000.0,2,False,
2023-08-20,Films (English),1,Heart of Stone,,74000000,2.1,35200000.0,2,False,
2023-08-20,Films (English),2,The Monkey King,,13100000,1.6167,8100000.0,1,False,
2023-08-20,Films (English),3,The Pope's Exorcist,,10400000,1.7333,6000000.0,1,False,
2023-08-20,Films (English),4,Half Brothers,,7300000,1.6,4600000.0,1,False,
2023-08-20,Films (English),5,Hidden Strike,,6000000,1.7167,3500000.0,4,False,
2023-08-20,Films (English),6,"Miraculous: Ladybug & Cat Noir, The Movie",,5900000,1.7,3500000.0,4,False,
2023-08-20,Films (English),7,What Men Want,,6700000,1.95,3400000.0,2,False,
2023-08-20,Films (English),8,Despicable Me 2,,5500000,1.6333,3400000.0,11,False,
2023-08-20,Films (English),9,Untold: Hall of Shame,,3900000,1.3,3000000.0,1,False,
2023-08-20,Films (English),10,Untold: Johnny Football,,3400000,1.2,2800000.0,2,False,
2023-08-13,Films (English),1,Heart of Stone,,69600000,2.1,33100000.0,1,False,
2023-08-13,Films (English),2,Hidden Strike,,13300000,1.7167,7700000.0,3,False,
2023-08-13,Films (English),3,Untold: Johnny Football,,9200000,1.2,7700000.0,1,False,
2023-08-13,Films (English),4,What Men Want,,11600000,1.95,5900000.0,1,False,
2023-08-13,Films (English),5,"Miraculous: Ladybug & Cat Noir, The Movie",,9800000,1.7,5800000.0,3,False,
2023-08-13,Films (English),6,Happiness for Beginners,,8900000,1.7667,5000000.0,3,False,
2023-08-13,Films (English),7,Despicable Me 2,,7800000,1.6333,4800000.0,10,False,
2023-08-13,Films (English),8,Shark Bait,,6200000,1.4167,4400000.0,2,False,
2023-08-13,Films (English),9,Fatale,,7100000,1.7167,4100000.0,3,False,
2023-08-13,Films (English),10,River Wild,,5900000,1.5167,3900000.0,2,False,
2023-08-06,Films (English),1,Hidden Strike,,40500000,1.7167,23600000.0,2,False,
2023-08-06,Films (English),2,Happiness for Beginners,,23100000,1.7667,13100000.0,2,False,
2023-08-06,Films (English),3,"Miraculous: Ladybug & Cat Noir, The Movie",,21200000,1.7,12500000.0,2,False,
2023-08-06,Films (English),4,Poisoned: The Dirty Truth About Your Food,,7200000,1.4,5100000.0,1,False,
2023-08-06,Films (English),5,Missing: The Lucie Blackman Case,,6900000,1.3667,5000000.0,2,False,
2023-08-06,Films (English),6,Fatale,,8500000,1.7167,5000000.0,2,False,
2023-08-06,Films (English),7,Shark Bait,,5200000,1.4167,3700000.0,1,False,
2023-08-06,Films (English),8,They Cloned Tyrone,,7500000,2.0667,3600000.0,3,False,
2023-08-06,Films (English),9,River Wild,,5200000,1.5167,3400000.0,1,False,
2023-08-06,Films (English),10,Untold: Jake Paul the Problem Child,,3900000,1.2,3300000.0,1,False,
2023-07-30,Films (English),1,Hidden Strike,,37800000,1.7167,22000000.0,1,False,
2023-07-30,Films (English),2,"Miraculous: Ladybug & Cat Noir, The Movie",,20800000,1.7,12200000.0,1,False,
2023-07-30,Films (English),3,They Cloned Tyrone,,23000000,2.0667,11100000.0,2,False,
2023-07-30,Films (English),4,Happiness for Beginners,,16500000,1.7667,9300000.0,1,False,
2023-07-30,Films (English),5,Missing: The Lucie Blackman Case,,10400000,1.3667,7600000.0,1,False,
2023-07-30,Films (English),6,The Out-Laws,,8900000,1.6167,5500000.0,4,False,
2023-07-30,Films (English),7,Unknown: Cosmic Time Machine,,5600000,1.0833,5200000.0,1,False,
2023-07-30,Films (English),8,Puss in Boots: The Last Wish,,7200000,1.7,4200000.0,3,False,
2023-07-30,Films (English),9,The Deepest Breath,,6500000,1.8333,3500000.0,2,False,
2023-07-30,Films (English),10,Extraction 2,,6000000,2.0667,2900000.0,7,False,
