row_id,movie_name,rating,votes,meta_score,genre0,genre1,genre2,genre3,pr_rating,year,duration,cast0,cast1,cast2,cast3,cast4,director,number_rating,weekly_rank,weekly_hours_viewed,weekly_views,cumulative_weeks_in_top_10
59,Spider-Man: Across the Spider-Verse,8.6,314000.0,86.0,"Animation, Action, Adventure",Animation, Action, Adventure,PG,2023,2.333,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez",Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez,Joaquim Dos SantosKemp PowersJustin K. Thompson,2.0,7.0,10200000.0,4400000.0,2.0
1383,Cold Pursuit,6.2,76000.0,57.0,"Action, Comedy, Crime",Action, Comedy, Crime,R,2019,1.983,"Liam Neeson, Laura Dern, Micheál Neeson, Michael Eklund",Liam Neeson, Laura Dern, Micheál Neeson, Michael Eklund,Hans Petter Moland,4.0,10.0,6700000.0,3400000.0,3.0
1383,Cold Pursuit,6.2,76000.0,57.0,"Action, Comedy, Crime",Action, Comedy, Crime,R,2019,1.983,"Liam Neeson, Laura Dern, Micheál Neeson, Michael Eklund",Liam Neeson, Laura Dern, Micheál Neeson, Michael Eklund,Hans Petter Moland,4.0,3.0,17300000.0,8800000.0,2.0
59,Spider-Man: Across the Spider-Verse,8.6,314000.0,86.0,"Animation, Action, Adventure",Animation, Action, Adventure,PG,2023,2.333,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez",Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez,Joaquim Dos SantosKemp PowersJustin K. Thompson,2.0,4.0,20100000.0,8600000.0,1.0
1383,Cold Pursuit,6.2,76000.0,57.0,"Action, Comedy, Crime",Action, Comedy, Crime,R,2019,1.983,"Liam Neeson, Laura Dern, Micheál Neeson, Michael Eklund",Liam Neeson, Laura Dern, Micheál Neeson, Michael Eklund,Hans Petter Moland,4.0,4.0,13200000.0,6700000.0,1.0
85,Reptile,6.8,73000.0,52.0,"Crime, Drama, Mystery",Crime, Drama, Mystery,R,2023,2.233,"Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone",Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone,Grant Singer,4.0,7.0,7900000.0,3500000.0,5.0
85,Reptile,6.8,73000.0,52.0,"Crime, Drama, Mystery",Crime, Drama, Mystery,R,2023,2.233,"Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone",Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone,Grant Singer,4.0,4.0,15800000.0,7000000.0,4.0
161,Fair Play,6.4,30000.0,73.0,"Drama, Mystery, Thriller",Drama, Mystery, Thriller,R,2023,1.883,"Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer",Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer,Chloe Domont,4.0,6.0,7300000.0,3800000.0,3.0
1868,Spy Kids,5.6,125000.0,71.0,"Action, Adventure, Comedy",Action, Adventure, Comedy,PG,2001,1.467,"Alexa PenaVega, Daryl Sabara, Antonio Banderas, Carla Gugino",Alexa PenaVega, Daryl Sabara, Antonio Banderas, Carla Gugino,Robert Rodriguez,2.0,9.0,5400000.0,3700000.0,1.0
85,Reptile,6.8,73000.0,52.0,"Crime, Drama, Mystery",Crime, Drama, Mystery,R,2023,2.233,"Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone",Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone,Grant Singer,4.0,1.0,32300000.0,14200000.0,3.0
