"row_id","movie_name","rating","votes","meta_score","genre0","genre1","genre2","genre3","pr_rating","year","duration","cast0","cast1","cast2","cast3","cast4","director","number_rating","weekly_rank","weekly_hours_viewed","weekly_views","cumulative_weeks_in_top_10"
1411,"Dora and the Lost City of Gold","6.1","34000","63","Action, Adventure, Comedy","Action"," Adventure"," Comedy","PG",2019,"1.700","Isabela Merced, Eugenio Derbez, Michael Peña, Eva Longoria","Isabela Merced"," Eugenio Derbez"," Michael Peña"," Eva Longoria","James Bobin","2",7,"8750000",NULL,1
1941,"Dragged Across Concrete","6.9","54000","60","Action, Crime, Drama","Action"," Crime"," Drama","R",2018,"2.650","Mel Gibson, Vince Vaughn, Tory Kittles, Michael Jai White","Mel Gibson"," Vince Vaughn"," Tory Kittles"," Michael Jai White","S. Craig Zahler","4",8,"3240000",NULL,3
1941,"Dragged Across Concrete","6.9","54000","60","Action, Crime, Drama","Action"," Crime"," Drama","R",2018,"2.650","Mel Gibson, Vince Vaughn, Tory Kittles, Michael Jai White","Mel Gibson"," Vince Vaughn"," Tory Kittles"," Michael Jai White","S. Craig Zahler","4",4,"9310000",NULL,2
1941,"Dragged Across Concrete","6.9","54000","60","Action, Crime, Drama","Action"," Crime"," Drama","R",2018,"2.650","Mel Gibson, Vince Vaughn, Tory Kittles, Michael Jai White","Mel Gibson"," Vince Vaughn"," Tory Kittles"," Michael Jai White","S. Craig Zahler","4",5,"9590000",NULL,1
1697,"Elysium","6.6","466000","61","Action, Drama, Sci-Fi","Action"," Drama"," Sci-Fi","R",2013,"1.817","Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga","Matt Damon"," Jodie Foster"," Sharlto Copley"," Alice Braga","Neill Blomkamp","4",10,"5170000",NULL,1
1446,"Enola Holmes","6.6","213000","68","Action, Adventure, Crime","Action"," Adventure"," Crime","PG-13",2020,"2.050","Millie Bobby Brown, Henry Cavill, Sam Claflin, Helena Bonham Carter","Millie Bobby Brown"," Henry Cavill"," Sam Claflin"," Helena Bonham Carter","Harry Bradbeer","3",9,"7610000",NULL,3
1446,"Enola Holmes","6.6","213000","68","Action, Adventure, Crime","Action"," Adventure"," Crime","PG-13",2020,"2.050","Millie Bobby Brown, Henry Cavill, Sam Claflin, Helena Bonham Carter","Millie Bobby Brown"," Henry Cavill"," Sam Claflin"," Helena Bonham Carter","Harry Bradbeer","3",3,"18650000",NULL,2
1446,"Enola Holmes","6.6","213000","68","Action, Adventure, Crime","Action"," Adventure"," Crime","PG-13",2020,"2.050","Millie Bobby Brown, Henry Cavill, Sam Claflin, Helena Bonham Carter","Millie Bobby Brown"," Henry Cavill"," Sam Claflin"," Helena Bonham Carter","Harry Bradbeer","3",8,"9640000",NULL,1
1401,"Extraction","6.8","256000","56","Action, Thriller","Action"," Thriller",NULL,"R",2020,"1.933","Chris Hemsworth, Bryon Lerum, Ryder Lerum, Rudhraksh Jaiswal","Chris Hemsworth"," Bryon Lerum"," Ryder Lerum"," Rudhraksh Jaiswal","Sam Hargrave","4",4,"11800000","6000000",3
1401,"Extraction","6.8","256000","56","Action, Thriller","Action"," Thriller",NULL,"R",2020,"1.933","Chris Hemsworth, Bryon Lerum, Ryder Lerum, Rudhraksh Jaiswal","Chris Hemsworth"," Bryon Lerum"," Ryder Lerum"," Rudhraksh Jaiswal","Sam Hargrave","4",2,"27200000","13800000",2
1401,"Extraction","6.8","256000","56","Action, Thriller","Action"," Thriller",NULL,"R",2020,"1.933","Chris Hemsworth, Bryon Lerum, Ryder Lerum, Rudhraksh Jaiswal","Chris Hemsworth"," Bryon Lerum"," Ryder Lerum"," Rudhraksh Jaiswal","Sam Hargrave","4",2,"18800000","9600000",1
668,"F9: The Fast Saga","5.2","158000","58","Action, Crime, Thriller","Action"," Crime"," Thriller","PG-13",2021,"2.383","Vin Diesel, Michelle Rodriguez, Jordana Brewster, Tyrese Gibson","Vin Diesel"," Michelle Rodriguez"," Jordana Brewster"," Tyrese Gibson","Justin Lin","3",5,"10200000","4300000",4
668,"F9: The Fast Saga","5.2","158000","58","Action, Crime, Thriller","Action"," Crime"," Thriller","PG-13",2021,"2.383","Vin Diesel, Michelle Rodriguez, Jordana Brewster, Tyrese Gibson","Vin Diesel"," Michelle Rodriguez"," Jordana Brewster"," Tyrese Gibson","Justin Lin","3",3,"24900000","10400000",3
668,"F9: The Fast Saga","5.2","158000","58","Action, Crime, Thriller","Action"," Crime"," Thriller","PG-13",2021,"2.383","Vin Diesel, Michelle Rodriguez, Jordana Brewster, Tyrese Gibson","Vin Diesel"," Michelle Rodriguez"," Jordana Brewster"," Tyrese Gibson","Justin Lin","3",10,"4160000",NULL,2
668,"F9: The Fast Saga","5.2","158000","58","Action, Crime, Thriller","Action"," Crime"," Thriller","PG-13",2021,"2.383","Vin Diesel, Michelle Rodriguez, Jordana Brewster, Tyrese Gibson","Vin Diesel"," Michelle Rodriguez"," Jordana Brewster"," Tyrese Gibson","Justin Lin","3",9,"6540000",NULL,1
161,"Fair Play","6.4","30000","73","Drama, Mystery, Thriller","Drama"," Mystery"," Thriller","R",2023,"1.883","Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer","Phoebe Dynevor"," Alden Ehrenreich"," Eddie Marsan"," Rich Sommer","Chloe Domont","4",6,"7300000","3800000",3
161,"Fair Play","6.4","30000","73","Drama, Mystery, Thriller","Drama"," Mystery"," Thriller","R",2023,"1.883","Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer","Phoebe Dynevor"," Alden Ehrenreich"," Eddie Marsan"," Rich Sommer","Chloe Domont","4",2,"26900000","14000000",2
161,"Fair Play","6.4","30000","73","Drama, Mystery, Thriller","Drama"," Mystery"," Thriller","R",2023,"1.883","Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer","Phoebe Dynevor"," Alden Ehrenreich"," Eddie Marsan"," Rich Sommer","Chloe Domont","4",2,"24200000","12600000",1
16,"Family Switch","5.6","16000","37","Comedy, Family","Comedy"," Family",NULL,"PG",2023,"1.767","Jennifer Garner, Ed Helms, Emma Myers, Brady Noon","Jennifer Garner"," Ed Helms"," Emma Myers"," Brady Noon","McG","2",4,"16600000","9400000",3
16,"Family Switch","5.6","16000","37","Comedy, Family","Comedy"," Family",NULL,"PG",2023,"1.767","Jennifer Garner, Ed Helms, Emma Myers, Brady Noon","Jennifer Garner"," Ed Helms"," Emma Myers"," Brady Noon","McG","2",2,"32900000","18600000",2
16,"Family Switch","5.6","16000","37","Comedy, Family","Comedy"," Family",NULL,"PG",2023,"1.767","Jennifer Garner, Ed Helms, Emma Myers, Brady Noon","Jennifer Garner"," Ed Helms"," Emma Myers"," Brady Noon","McG","2",2,"39200000","22200000",1
1713,"Fast & Furious Presents: Hobbs & Shaw","6.5","231000","60","Action, Adventure, Thriller","Action"," Adventure"," Thriller","PG-13",2019,"2.283","Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby","Dwayne Johnson"," Jason Statham"," Idris Elba"," Vanessa Kirby","David Leitch","3",7,"12870000",NULL,2
1713,"Fast & Furious Presents: Hobbs & Shaw","6.5","231000","60","Action, Adventure, Thriller","Action"," Adventure"," Thriller","PG-13",2019,"2.283","Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby","Dwayne Johnson"," Jason Statham"," Idris Elba"," Vanessa Kirby","David Leitch","3",3,"26590000",NULL,1
1332,"Fifty Shades Freed","4.5","72000","31","Drama, Romance, Thriller","Drama"," Romance"," Thriller","R",2018,"1.750","Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford","Dakota Johnson"," Jamie Dornan"," Eric Johnson"," Eloise Mumford","James Foley","4",5,"5900000","3400000",1
1414,"Flight","7.3","371000","76","Drama, Thriller","Drama"," Thriller",NULL,"R",2012,"2.300","Denzel Washington, Nadine Velazquez, Don Cheadle, John Goodman","Denzel Washington"," Nadine Velazquez"," Don Cheadle"," John Goodman","Robert Zemeckis","4",8,"10710000",NULL,1
